pickup_location,drop_location,trips,revenue
"South Extension","Noida Sector 15",4,830
"Mandi House","Airport T3",4,2261.65
"Anand Vihar Railway Station","Civil Lines",4,895.75
"Golf Course Road",ITO,4,2179.5
"Pragati Maidan","Sector 14 Gurugram",4,1358
AIIMS,"Jama Masjid",4,3272
"Lajpat Nagar","Crossings Republik",4,1210.9
"Mayur Vihar","Preet Vihar",4,2471.25
Indirapuram,"Model Town",4,1457
"New Delhi Railway Station","Hauz Khas",4,2079.75
"DLF Mall of India","Hauz Khas",4,1230.2
"MG Road","South Extension",4,2517.8
"Udyog Vihar",Indirapuram,4,1981.75
"Defence Colony","Film City Noida",4,1367.5
"DLF Phase 2","Airport T3",4,2136.9
Sahibabad,"Laxmi Nagar",4,1839.9
"Raj Nagar Extension","Golf Course Road",4,1390.7
"Malviya Nagar","Jama Masjid",4,2345
"Sector 45 Gurugram","Mandi House",4,1584
Ecotech,Janakpuri,4,1609.7
"Film City Noida","Model Town",4,1156.5
Kalkaji,Akshardham,4,1593.35
"Ambience Mall",Rohini,4,1936.05
Daryaganj,INA,4,2806.5
"Laxmi Nagar",Loni,4,3766.6
"Defence Colony","Mohan Nagar",4,1919.8
Ecotech,Vasundhara,4,2145.5
Shahdara,"Pragati Maidan",4,2818.3
"DLF Phase 4","Huda City Centre",4,2473.1
"Ghaziabad Railway Station",Bisrakh,4,1903.1
"Sarojini Nagar","Mandi House",4,1307.5
"Hauz Khas",Indirapuram,4,1088.5
"Noida Sector 76",Kalkaji,4,1370.95
"Beta 1",Surajpur,4,2166
AIIMS,"Airport T3",4,1869.25
Dwarka,Aerocity,4,2089.25
"Model Town","Greater Noida West",4,1444.5
"Greater Noida West","Sector 56 Gurugram",4,2154.25
Kalkaji,"IFFCO Chowk",4,2229.2
"Ambience Mall",Kalkaji,4,1755.4
Akshardham,"Kashmere Gate",4,1163
Daryaganj,"Chandni Chowk",4,2062.55
AIIMS,"Model Town",4,1786.5
"Old Delhi Railway Station","Red Fort",4,1270.7
"Golf Course Road","Mandi House",4,1426.7
Shahdara,"Kashmere Gate",4,996.5999999999999
"Noida City Centre","Logix Mall",4,2117.5
Seelampur,"Malviya Nagar",4,2149.1
"Vasant Kunj","Noida City Centre",4,2007.5
Loni,"IFFCO Chowk",4,1724.6
Seelampur,"Noida Sector 62",4,1623.8000000000002
"Nehru Place","Greater Noida West",4,3920.75
"Pragati Maidan","Delta 1",4,1363.6
Janakpuri,"Red Fort",4,1633
"Anand Vihar ISBT","Film City Noida",4,1273.65
Kalkaji,"Yamuna Bank",4,1187
"IFFCO Chowk",Kalkaji,4,2873.95
"Laxmi Nagar","South Extension",4,1281.5
Janakpuri,Pitampura,4,2897.5
Daryaganj,"Greater Kailash",4,1436
"Sector 56 Gurugram","Noida Sector 137",4,957.5
"Greater Kailash","DLF Phase 2",4,1480.5
Bisrakh,"Greater Noida West",4,2511.5
Seelampur,"DLF Phase 2",4,1754
"Laxmi Nagar",Sahibabad,4,1368.25
"Connaught Place",Shahdara,4,1518.2
"Delta 1","Sohna Road",4,1478.5
Manesar,"Defence Colony",4,1858.4
"Noida Sector 76","Greater Kailash",4,2420.15
Vasundhara,"Mandi House",4,1373.4
"IFFCO Chowk","Old Delhi Railway Station",4,2780.75
"Laxmi Nagar","Mandi House",4,2341
"Pragati Maidan","Noida Sector 78",4,2871.75
"Noida Sector 78","Ambience Mall",4,2264.15
"Greater Kailash","Udyog Vihar",4,1831.1
"Chandni Chowk","Ghaziabad Railway Station",4,2465.75
"Dilshad Garden","Greater Noida West",4,1904.6
"Airport T3","MG Road",4,1672.7
"Noida Sector 62","Cyber City",4,2051.5
"Mohan Nagar","Ghaziabad Railway Station",4,1487.8
"New Delhi Railway Station","Huda City Centre",4,2318.5
Indirapuram,Dwarka,4,3202.4
"Ghaziabad Railway Station",AIIMS,4,1176.6999999999998
"Sector 29 Gurugram","Greater Noida West",4,1265.4
"Golf Course Road",Pitampura,4,2150.3
"Defence Colony","Lajpat Nagar",4,1773.9
"Cyber Hub","Greater Noida West",4,1661
"Udyog Vihar",Sahibabad,4,2033.25
"Chandni Chowk","Knowledge Park",4,2108.6
"Udyog Vihar","Botanical Garden",4,1788
"Sohna Road","IGI Airport T1",4,2737
"Logix Mall","Vasant Kunj",4,2227
"South Extension","Noida City Centre",4,1439.75
"Nehru Place","Lajpat Nagar",4,103.25
"IFFCO Chowk","Film City Noida",4,2607.25
"Noida Sector 15",Daryaganj,4,2103
"Ghaziabad Railway Station","Defence Colony",4,1742.45
"IGI Airport T1","DLF Mall of India",4,2323.75
"Ghaziabad Railway Station","Hauz Khas",4,1937.9
"Mayur Vihar","Alpha 1",4,1656
"Alpha 1",Mahipalpur,4,2094.5
"Preet Vihar","MG Road",4,1074.2
"Karol Bagh","Red Fort",4,2491
Seelampur,Loni,4,1250
Bisrakh,"Botanical Garden",4,1914.55
"Sector 56 Gurugram","Alpha 1",4,1664.9
"Crossings Republik","IFFCO Chowk",4,1816.5
"Anand Vihar ISBT","Raj Nagar Extension",4,2797.4
"Golf Course Road",Indirapuram,4,1409
"Defence Colony",Indirapuram,4,1252.4
"Greater Kailash","DLF Phase 1",4,2485.5
"Kashmere Gate","Airport T3",4,1628.5
"Cyber Hub","IFFCO Chowk",4,2930.5
Indirapuram,Daryaganj,4,1794.5
"DLF Phase 4","Raj Nagar Extension",4,2707.5
"Nehru Place","Sarojini Nagar",4,2316.5
"Lajpat Nagar","Anand Vihar ISBT",4,2113
"Cyber Hub","Hauz Khas",4,1775.95
Surajpur,"Noida Sector 62",4,1866.6
"Airport T3",Dwarka,4,1222.5
"Chandni Chowk",Pitampura,4,2515.8
"Sector 29 Gurugram",Rohini,4,1875.75
"Hauz Khas","Noida Sector 37",4,1973
"Noida Sector 63","Noida Sector 15",4,2403.25
"Noida Sector 137","Greater Noida West",4,3447.5
"Delta 1",Pitampura,4,3030.9
Indirapuram,"Knowledge Park",4,1817
Manesar,"Film City Noida",4,2673.5
"Dilshad Garden",Seelampur,4,6162
ITO,"Noida Sector 15",4,1376.75
"Sector 29 Gurugram","Mandi House",4,1266
"DLF Phase 1","Cyber Hub",4,852.4
"Civil Lines","DLF Phase 4",4,1256.9
INA,"Vasant Kunj",4,1692
Manesar,"Sector 29 Gurugram",4,2345.25
Sahibabad,"Yamuna Bank",4,1537.8
"Connaught Place","Mohan Nagar",4,1185.5
"Botanical Garden","Sector 29 Gurugram",4,2036.25
"Lajpat Nagar","Film City Noida",4,2058.4
"Udyog Vihar",Dwarka,4,3753
"DLF Phase 1","Mandi House",4,2059.3
"Vasant Kunj","Anand Vihar Railway Station",4,1196.6
"MG Road","Noida Sector 78",4,1812
Vasundhara,Bisrakh,4,2004.5
"Preet Vihar","Jama Masjid",4,2194.2
"Noida Sector 137",Rohini,4,2756.8
"Preet Vihar","Pragati Maidan",4,2202.15
"Malviya Nagar","Connaught Place",4,2804.9
"Preet Vihar","Mayur Vihar",4,1920
"MG Road","Gamma 1",4,3038
"IFFCO Chowk","Mohan Nagar",4,1652
"Mohan Nagar",AIIMS,4,1183
"Film City Noida",Surajpur,4,1713
Ecotech,Dwarka,4,2833.95
"South Extension","Model Town",4,1904
"Cyber City",Aerocity,4,2275
"Huda City Centre","Noida City Centre",4,1394.5
"Defence Colony","Gamma 1",4,1834.5
"Defence Colony",Seelampur,4,1050.5
"Botanical Garden","Anand Vihar Railway Station",4,1656
"Dilshad Garden","Noida Sector 18",4,1822.8
"MG Road",Bisrakh,4,1482
"Old Delhi Railway Station",Janakpuri,4,1590
Rohini,"Cyber City",4,2353.5
"Red Fort","Chandni Chowk",4,1508.25
Saket,Rohini,4,1219
"Red Fort",Indirapuram,4,1421.5
Surajpur,Rohini,4,1134.5
Indirapuram,"Beta 1",4,902
"DLF Mall of India","RK Puram",4,2015.6
"Civil Lines",Bisrakh,4,1216.5
"Dilshad Garden","Preet Vihar",4,1448.8999999999999
"Sector 29 Gurugram","Crossings Republik",4,1459.8
"Old Delhi Railway Station","Mayur Vihar",4,1770.5
"Jama Masjid","DLF Phase 2",4,1782.5
"Noida Sector 62","Vasant Kunj",4,2716
INA,Dwarka,4,2029.5
"Beta 1",Aerocity,4,2046.3
Akshardham,"Sohna Road",4,1716
"Noida Sector 137",Aerocity,4,2097.2
Indirapuram,"Chandni Chowk",4,3087
"Raj Nagar Extension","Beta 1",4,1682.4
"Pari Chowk",Vaishali,4,1639.4
"Sector 14 Gurugram",INA,4,3172.9
"Noida Sector 37","RK Puram",4,2021
"Greater Kailash","Gamma 1",4,1389.5
AIIMS,"Knowledge Park",4,2816.5
Rohini,"Udyog Vihar",4,1345.5
"Sector 29 Gurugram","Alpha 1",4,1777.65
"Old Delhi Railway Station",Kaushambi,4,1756
"Noida City Centre","Sarojini Nagar",4,1876.25
"DLF Phase 4","Gamma 1",4,1715.75
"Alpha 1","Nehru Place",4,1952.4
"Beta 1","South Extension",4,3103.5
"Ghaziabad Railway Station","Cyber City",4,2560.75
"Mandi House","DLF Phase 3",4,1272.5
"Crossings Republik","Beta 1",4,1751.5
Vasundhara,"Kashmere Gate",4,2833.1
"Noida Sector 18","Raj Nagar Extension",4,1261.25
"Malviya Nagar","Noida Sector 62",4,3725.75
"Beta 1","Cyber City",4,1261.85
"Malviya Nagar","Sarojini Nagar",4,1634
"Malviya Nagar",AIIMS,4,1246.5
Mahipalpur,Ecotech,4,1385.4
Bisrakh,"Noida Sector 18",4,1455.5
"Defence Colony","Preet Vihar",4,2587.5
"DLF Phase 2",Dwarka,4,2084.45
"DLF Phase 4","Sector 29 Gurugram",4,1276
INA,"Knowledge Park",4,2270.5
"Hauz Khas","Greater Noida West",4,1852.25
"IFFCO Chowk","Malviya Nagar",4,2607.2
"Gamma 1","Malviya Nagar",4,2557.6
Indirapuram,"Green Park",4,2144.75
"Ghaziabad Railway Station","Sohna Road",4,1156.5
"Anand Vihar ISBT","Model Town",4,2195
"Noida Sector 76","Preet Vihar",4,1936
"Civil Lines","Dilshad Garden",4,2792.75
Akshardham,"Cyber Hub",4,1348.2
"DLF Phase 3",Shahdara,4,1885.75
Manesar,"Noida Sector 18",4,2536
Mahipalpur,Shahdara,4,1370
"Greater Noida West","Civil Lines",4,1849.9
"Golf Course Road","Airport T3",4,3552.25
"Connaught Place","Sarojini Nagar",4,2485.65
Janakpuri,"Noida Sector 15",4,1536
"South Extension","Film City Noida",4,2691
"Greater Kailash","Noida Sector 76",4,1444.25
"Model Town","Jama Masjid",4,842.3
"Noida Sector 62",ITO,4,1352.5
"Preet Vihar","Delta 1",4,2278.5
Shahdara,Mahipalpur,4,1725.25
"Pragati Maidan","Noida Sector 18",4,2030.6
Seelampur,"Jama Masjid",4,830.25
"Vasant Kunj","Greater Kailash",4,2203.2
"Delta 1","Noida City Centre",4,923.2
Vasundhara,Kalkaji,4,2320.75
"Model Town","New Delhi Railway Station",4,1996
"Crossings Republik","Raj Nagar Extension",4,2358.55
"Mayur Vihar","Nehru Place",4,1907.5
"RK Puram","DLF Phase 4",4,2606
Kalkaji,Loni,4,2097
"Logix Mall","Noida Sector 18",4,982.7
"Mandi House","Green Park",4,1482.5
Vaishali,"DLF Phase 1",4,6118.2
Akshardham,"Model Town",4,1965.25
Indirapuram,"MG Road",4,1804.75
"Malviya Nagar",Saket,4,4409
"DLF Phase 2","Greater Kailash",4,1815.1
"Gamma 1","IFFCO Chowk",4,2770.75
"Knowledge Park","MG Road",4,3496.4
Seelampur,"Airport T3",4,2004.45
"Noida Sector 18","Defence Colony",4,1954
"Red Fort","Old Delhi Railway Station",4,2251.5
"Jama Masjid","Alpha 1",4,1739.7
Aerocity,"Noida Sector 16",4,2225.75
"Film City Noida","Udyog Vihar",4,1805
"Noida City Centre","Chandni Chowk",4,2419.95
"Ambience Mall",Indirapuram,4,1193.75
"DLF Phase 2","Noida Sector 37",4,2178
"Noida City Centre","Sector 56 Gurugram",4,1549.8
"Noida Sector 15",Aerocity,4,1518.5
"Laxmi Nagar","Sohna Road",4,2368.3
Bisrakh,"Lajpat Nagar",4,2763.5
"DLF Phase 3","Beta 1",4,2518.6
"Noida Sector 37","Connaught Place",4,1809.85
INA,"Film City Noida",4,2342.25
Kalkaji,"Greater Kailash",4,2352.8
"Mohan Nagar","Noida Sector 76",4,1746.5
"Chandni Chowk","Sector 45 Gurugram",4,2943.45
"DLF Mall of India","Laxmi Nagar",4,1753.9
"Yamuna Bank","Cyber City",4,3000
INA,"Sector 45 Gurugram",4,2745
"Karol Bagh","Cyber City",4,2217
"Sector 45 Gurugram","DLF Phase 4",4,918.5
"IGI Airport T1",Surajpur,4,1573.5
"DLF Mall of India",Daryaganj,4,1259.55
"Anand Vihar ISBT","New Delhi Railway Station",4,2037.25
"IGI Airport T1","Noida Sector 37",4,2875.5
"Defence Colony","Anand Vihar ISBT",4,2147.5
"Model Town",INA,4,1635.75
"Huda City Centre",Mahipalpur,4,2083.7
"Anand Vihar Railway Station","Lajpat Nagar",4,2300.5
"DLF Phase 1","Vasant Kunj",4,1597.9
Manesar,"Alpha 1",4,2288.2
Dwarka,"Airport T3",4,1859.3
"Noida Sector 37","DLF Mall of India",4,1173.5
"Noida Sector 37","Cyber Hub",4,1417.9
"Connaught Place","Delta 1",4,1732.25
Vaishali,"Gamma 1",4,2094.6
Manesar,Bisrakh,4,2080.5
"Chandni Chowk","IFFCO Chowk",4,1118.5
"Yamuna Bank",Mahipalpur,4,2196
Kalkaji,"DLF Phase 3",4,2023.5
"Laxmi Nagar","Udyog Vihar",4,2279.05
"Ghaziabad Railway Station","Noida Sector 18",4,2997.5
"Sarojini Nagar","Sohna Road",4,2202.05
Saket,"Nehru Place",4,1212.35
"Film City Noida","IFFCO Chowk",4,1819.8
"Mohan Nagar",Surajpur,4,4386.15
Saket,"Hauz Khas",4,1899.75
"Defence Colony","Green Park",4,1273.8000000000002
"Pragati Maidan","RK Puram",4,1491.5
"Connaught Place","Noida Sector 15",4,2034
"Connaught Place","Sector 14 Gurugram",4,1418.5
"Defence Colony","DLF Phase 2",4,1130.55
"Airport T3","Connaught Place",4,2298.1
"Ghaziabad Railway Station",Ecotech,4,2229.35
Akshardham,"Alpha 1",4,1545.6
"Noida Sector 16",Surajpur,4,1721.1
"Preet Vihar","Civil Lines",4,1046.4
Saket,Loni,4,1376.8
"Connaught Place","Green Park",4,1259.6
Ecotech,"Noida Sector 37",4,1484.9
"Pragati Maidan","Anand Vihar ISBT",4,1747.25
"Noida Sector 78","Wave City Center",4,2029.5
"Connaught Place",Kalkaji,4,3353
"MG Road","Rajouri Garden",4,2346
"Jama Masjid","Mayur Vihar",4,628
"Rajouri Garden","Nehru Place",4,1372.5
Ecotech,Aerocity,4,2713.05
"Anand Vihar Railway Station","Karol Bagh",4,1416
Vaishali,"Defence Colony",4,1788.1
Kaushambi,"DLF Phase 4",4,2208.85
"Karol Bagh","Noida Sector 16",4,1731.5
"Noida Sector 37",Shahdara,4,1513
"Botanical Garden","Ambience Mall",4,2296.2
Seelampur,ITO,4,1700
"Wave City Center","Mayur Vihar",4,2276.6
"Yamuna Bank","Noida Sector 16",4,2055.5
"Sector 14 Gurugram","Mohan Nagar",4,2371.75
"Defence Colony",Aerocity,4,1170.7
ITO,Vasundhara,4,2854.1
"Noida Sector 137","Vasant Kunj",4,1436.5
"Noida City Centre","Noida Sector 63",4,1973
Dwarka,"Mayur Vihar",4,1677.2
"Cyber City","RK Puram",4,261.6
Shahdara,"Anand Vihar Railway Station",4,1965
"Sarojini Nagar","Red Fort",4,4251
"Noida Sector 18","Delta 1",4,1992
"Huda City Centre","Vasant Kunj",4,1608.5
"Red Fort","Delta 1",4,2836.5
ITO,Kalkaji,4,2333.7
"Mayur Vihar",Bisrakh,4,2376.5
"DLF Phase 4","Cyber City",4,1878
"Vasant Kunj","Gamma 1",4,1208.6
"Jama Masjid","Green Park",4,495.5
"Greater Kailash","Crossings Republik",4,2390.5
"MG Road","Golf Course Road",4,2190.1
"Sector 14 Gurugram","Sector 56 Gurugram",4,1779
"Yamuna Bank","Noida Sector 18",4,1933.3
"Knowledge Park","Noida Sector 63",4,4616.5
"Cyber Hub","Chandni Chowk",4,1199.5
"Crossings Republik","DLF Mall of India",4,2418.65
"Yamuna Bank",Daryaganj,4,1438
"Karol Bagh",Manesar,4,2725
"DLF Mall of India",Loni,4,2197.5
"Yamuna Bank","Noida Sector 76",4,1945.15
Mahipalpur,"Airport T3",4,2254.25
ITO,Saket,4,2354.25
Vasundhara,"Noida Sector 76",4,938.2
"DLF Mall of India","Mandi House",4,2262.5
"Rajouri Garden","Anand Vihar Railway Station",4,2562.9
Kaushambi,"Noida Sector 15",4,1614.9
"Laxmi Nagar","Defence Colony",4,665.35
Seelampur,Akshardham,4,1638.5
"New Delhi Railway Station","Noida Sector 18",4,1357.75
"Hauz Khas",AIIMS,4,2294
"Greater Kailash",Kaushambi,4,1238.9
"Mohan Nagar","Beta 1",4,2707.7
Seelampur,"Nehru Place",4,2152.4
"Noida Sector 76",Aerocity,4,1309.1999999999998
"Sarojini Nagar",INA,4,1390.75
"Udyog Vihar","Mohan Nagar",4,2398.1
"Connaught Place",Vaishali,4,2387
"Mandi House",Akshardham,4,1113.45
"Gamma 1",Seelampur,4,2176
Janakpuri,INA,4,1403
"Noida Sector 37","Cyber City",4,1726.5
"Malviya Nagar","Kashmere Gate",4,1928
"Delta 1","Sarojini Nagar",4,2102
"Green Park","Sector 45 Gurugram",4,2890.65
"Gamma 1",Manesar,4,1809.4
"MG Road","Lajpat Nagar",4,1658.3
"Cyber Hub","Greater Kailash",4,2366.85
"IGI Airport T1",Vasundhara,4,1004.9
Loni,"Preet Vihar",4,1425.5
"Anand Vihar Railway Station","Hauz Khas",4,1726.5
"Rajouri Garden","Noida Sector 137",4,1883
Surajpur,"Yamuna Bank",4,2627.5
"Yamuna Bank","Mayur Vihar",4,2353.1
"Noida Sector 62",Bisrakh,4,2071
Loni,Seelampur,4,1617.1
Pitampura,"Sector 56 Gurugram",4,1419
Surajpur,"Greater Noida West",4,1450.75
Vasundhara,"Lajpat Nagar",4,1714.25
Saket,"Huda City Centre",4,2152
"Connaught Place","Alpha 1",4,990
Mahipalpur,"Connaught Place",4,1718.3
Daryaganj,Ecotech,4,3151
"Greater Noida West","Sarojini Nagar",4,2657
"Noida Sector 16","Jama Masjid",4,3023.75
"Sector 14 Gurugram","Film City Noida",4,1611.5
"Crossings Republik",Akshardham,4,3012
Pitampura,Saket,4,3220.25
"Anand Vihar ISBT","MG Road",4,1881
"Mandi House","Noida Sector 76",4,1659.4
"Greater Noida West","Noida Sector 37",4,1008.7
"Anand Vihar Railway Station","Wave City Center",4,295.6
"Nehru Place","Gamma 1",4,2320.5
"Old Delhi Railway Station","Ambience Mall",4,2122.8
"Pragati Maidan","Film City Noida",4,1259.1
"Mohan Nagar","Greater Noida West",4,1884.5
"DLF Phase 2","IFFCO Chowk",4,914.5
"Delta 1","Noida Sector 137",4,2686.9
INA,"Wave City Center",4,1596
"Dilshad Garden","Sarojini Nagar",4,2811.75
"Noida Sector 63","DLF Mall of India",4,1554.35
"Greater Noida West","Wave City Center",4,2142.5
"DLF Mall of India","Noida Sector 78",4,1884.25
"RK Puram","Greater Noida West",4,1792.5
"Cyber City","Noida Sector 37",4,1445.65
Sahibabad,Rohini,4,1216.7
"Noida Sector 137","Chandni Chowk",4,1951.7
Kalkaji,"Golf Course Road",4,1772.25
Vasundhara,"Vasant Kunj",4,2181
"Noida Sector 62","Rajouri Garden",4,1535
Vasundhara,"Chandni Chowk",4,1521.5
Manesar,ITO,4,3040
"Noida Sector 16","Chandni Chowk",4,1434.3
"RK Puram",Vasundhara,4,2350.5
Dwarka,"Noida Sector 62",4,1260.4
"Kashmere Gate",Vaishali,4,1521
"Sarojini Nagar",Sahibabad,4,2128.2
"Udyog Vihar","Nehru Place",4,3232.75
"Old Delhi Railway Station","Huda City Centre",4,1721.25
"RK Puram",Janakpuri,4,1875
Sahibabad,"Cyber Hub",4,1214.5
"Wave City Center","South Extension",4,1525.2
"Logix Mall","Red Fort",4,2048
"Noida City Centre","Noida Sector 78",4,1404
"Green Park","Greater Kailash",4,2438.2
"Laxmi Nagar","Huda City Centre",4,3711
"Mayur Vihar",Kalkaji,4,1781
"Sarojini Nagar",Surajpur,4,1347.9
Shahdara,"Lajpat Nagar",4,1783.65
"Anand Vihar Railway Station","South Extension",4,1607
"Pari Chowk","Noida Sector 15",4,1576.3
"Sector 45 Gurugram","Malviya Nagar",4,2741.8
"Kashmere Gate","Greater Kailash",4,2680.5
"Ambience Mall","Huda City Centre",4,1506.4
"Connaught Place","Lajpat Nagar",4,2756.45
"Mohan Nagar",Vaishali,4,1615.7
"Cyber Hub",Sahibabad,4,2052.5
Aerocity,"Golf Course Road",4,2551.7
"Pari Chowk","Nehru Place",4,1088.3
Saket,"Noida City Centre",4,2505.2
Janakpuri,Dwarka,4,1875
"Logix Mall","DLF Phase 4",4,1803
Daryaganj,"Mandi House",4,1895.15
"DLF Mall of India","Chandni Chowk",4,2589.5
"Noida Sector 15","Sector 45 Gurugram",4,2159.75
Kalkaji,"Pragati Maidan",4,1708.9
"New Delhi Railway Station","Sector 56 Gurugram",4,2131.25
Manesar,Shahdara,4,2265.5
Vaishali,"IGI Airport T1",4,1156.3
"DLF Mall of India","Mayur Vihar",4,1110
"Anand Vihar ISBT","Udyog Vihar",4,4762.6
Shahdara,"IFFCO Chowk",4,1130.6
"Sector 45 Gurugram",Akshardham,4,2533.4
"Noida Sector 137","Connaught Place",4,1393.25
Manesar,"Yamuna Bank",4,2614.25
Vasundhara,Rohini,4,1956.5
Rohini,"Noida Sector 78",4,1643.6
"Cyber City","IFFCO Chowk",4,2348
"Noida Sector 76","Mohan Nagar",4,1816
"Mohan Nagar","Sector 14 Gurugram",4,1482
"RK Puram","Noida Sector 37",4,1100
"Mohan Nagar",Kalkaji,4,3322
"DLF Phase 1",Shahdara,4,1012.9000000000001
Mahipalpur,"Pari Chowk",4,2490.3
Akshardham,Dwarka,4,991
"Mayur Vihar","DLF Phase 3",4,2435.25
"Udyog Vihar",Saket,4,2288.5
"Mandi House","Jama Masjid",4,2570.5
"Green Park",Aerocity,4,1435.2
"Hauz Khas","Old Delhi Railway Station",4,2403.8
"Connaught Place","Red Fort",4,1592.5
Rohini,"Noida Sector 62",4,1168.95
"Ambience Mall","Airport T3",4,1967.4
"Mohan Nagar",Saket,4,1804.3
Loni,"Anand Vihar Railway Station",4,1922
"Beta 1","Pari Chowk",4,1561.25
"Logix Mall","IFFCO Chowk",4,1371.9
"Nehru Place","Rajouri Garden",4,1144.75
"Nehru Place","Beta 1",4,971
Dwarka,"Malviya Nagar",4,3018.95
"Pari Chowk",Sahibabad,4,1999.2
"Raj Nagar Extension","Laxmi Nagar",4,1437
Dwarka,"Huda City Centre",4,2243.4
"Civil Lines","Malviya Nagar",4,1541
"Ghaziabad Railway Station","DLF Phase 3",4,2056.25
"Yamuna Bank","Sohna Road",4,1866.3
Kaushambi,"Sector 29 Gurugram",4,1936.5
"Noida Sector 16",Rohini,4,2620.4
"Kashmere Gate",Janakpuri,4,2654.25
"Malviya Nagar","Laxmi Nagar",4,2895.25
"Noida Sector 15","Noida Sector 62",4,1503.25
"Gamma 1",ITO,4,2970.15
"DLF Phase 3",Vaishali,4,1640
"Huda City Centre","Wave City Center",4,2337.5
Vaishali,"Model Town",4,1772
"Sector 45 Gurugram","Karol Bagh",4,1641
"Gamma 1","Pari Chowk",4,2262.75
"Red Fort","Film City Noida",4,1820
"Connaught Place","Golf Course Road",4,1724.6
Loni,"Mayur Vihar",4,2182.5
Vaishali,"Noida Sector 137",4,1629.5
"Yamuna Bank","Noida Sector 37",4,2459.2
Daryaganj,"Connaught Place",4,2379.5
Aerocity,"DLF Mall of India",4,1975.75
Mahipalpur,Aerocity,4,1972.15
Bisrakh,"Pari Chowk",4,2256.55
Rohini,"Noida City Centre",4,2454.9
"IFFCO Chowk","Anand Vihar ISBT",4,2349.5
Ecotech,Kaushambi,4,1297.4
"Knowledge Park","Wave City Center",4,1699.2
Saket,"DLF Mall of India",4,1173
AIIMS,"Kashmere Gate",4,3528.5
"Noida Sector 18","Noida Sector 62",4,1854.5
Indirapuram,"Pari Chowk",4,1919
"Noida Sector 18","Noida Sector 76",4,2020.25
AIIMS,"Mohan Nagar",4,1315.2
"Hauz Khas","Mayur Vihar",4,1329.75
Shahdara,"Sector 29 Gurugram",4,1565.5
"Ambience Mall","Green Park",4,2588.6
Vaishali,Ecotech,4,2205.75
"Greater Kailash",Indirapuram,4,2041.5
"MG Road","Dilshad Garden",4,1510.5
"Nehru Place","Mayur Vihar",4,1268.6
"Sector 29 Gurugram","Preet Vihar",4,2182.6
"Dilshad Garden","Cyber City",4,1742
"MG Road","Noida Sector 15",4,2101.75
"Jama Masjid","Chandni Chowk",4,1661
"New Delhi Railway Station","Karol Bagh",4,1710.8
Kalkaji,"Dilshad Garden",4,1434.5
"Pari Chowk",Daryaganj,4,2446
"Beta 1","Delta 1",4,1892.2
"Gamma 1","RK Puram",4,2362.2000000000003
"Raj Nagar Extension","Old Delhi Railway Station",4,1031.5
"Connaught Place","Mayur Vihar",4,1914.2
Shahdara,"Vasant Kunj",4,2113.25
"RK Puram","Vasant Kunj",4,1658.1
"Noida Sector 15",Pitampura,4,1556.5
"Delta 1","Ambience Mall",4,1071.45
"Lajpat Nagar","Knowledge Park",4,2055.2
"Mayur Vihar","Noida Sector 63",4,3015.95
"DLF Phase 2",Vasundhara,4,1748.2
"Logix Mall","Botanical Garden",4,1306.6
"DLF Phase 3",INA,4,1623.5
"Delta 1","DLF Phase 1",4,3171
"Preet Vihar","Ghaziabad Railway Station",4,2383.45
"Greater Kailash",Kalkaji,4,1838.15
"Green Park","Red Fort",4,1656
"Sarojini Nagar","DLF Mall of India",4,1560.75
"Ambience Mall",Manesar,4,1405.85
"DLF Phase 3","Noida Sector 16",4,2063.5
Vaishali,Kalkaji,4,1199.25
Daryaganj,"DLF Phase 4",4,2391.25
Janakpuri,"Airport T3",4,3054
"Red Fort",Dwarka,4,2338.65
"Hauz Khas",Akshardham,4,2178.65
"DLF Phase 3","Noida Sector 62",4,1479.5
"Botanical Garden","Noida Sector 78",4,2206.6
"Noida Sector 76","Raj Nagar Extension",4,1909.25
ITO,"Cyber City",4,1682.7
"Alpha 1","Udyog Vihar",4,1238
"Huda City Centre","Mohan Nagar",4,1301.25
"Airport T3","Gamma 1",4,1751
"DLF Phase 4","Laxmi Nagar",4,1791
"Hauz Khas","Wave City Center",4,2264
Sahibabad,"Noida Sector 62",4,2148.5
"Noida Sector 37","Ghaziabad Railway Station",4,1325.25
Aerocity,"Anand Vihar ISBT",4,2969.25
Dwarka,"IGI Airport T1",4,3400.25
"Mayur Vihar","Sarojini Nagar",4,1364
"Noida City Centre",Seelampur,4,1297
"Noida Sector 76","Sarojini Nagar",4,1900.75
"Red Fort","Noida Sector 18",4,1054.3
"Raj Nagar Extension","Noida Sector 15",4,2763.5
"Sohna Road","Noida Sector 62",4,1318
"Noida Sector 18","Gamma 1",4,2873.5
"Rajouri Garden","Knowledge Park",4,2102.75
"MG Road","DLF Phase 4",4,2338.1
"Mandi House",ITO,4,1535.5
"Botanical Garden","Mayur Vihar",4,2805
"Mayur Vihar",Seelampur,4,1614.15
"Green Park","Mandi House",4,1593.4
AIIMS,"Preet Vihar",4,1074
"Huda City Centre","Yamuna Bank",4,2147.5
"Golf Course Road","Sector 29 Gurugram",4,1447.5
"Gamma 1","Chandni Chowk",4,1605
Sahibabad,"Old Delhi Railway Station",4,2169.2
"Greater Noida West",Kalkaji,4,1979.7
"Ghaziabad Railway Station","Sector 45 Gurugram",4,3092.5
Surajpur,"Delta 1",4,2540.5
